",",商品,全名,",",用户,评论,时间,",",用户,评论,内容
0,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,25, ,18,:,25,:,40,",",没话说,，,小伙伴,双,11,前,在,某,B, ,买,的,，,我,双,11,京东,下,的,单,，,只,比,他,贵,几百,，,但是,我,比,他,多,了,一个,京东,的,售后,支撑,，,至少,我,心里,是,放心,的,，,另外,第一次,体验,京尊达,&,hellip,;,好像,真的,是,专车,，,因为,送货,的,小哥,是,正装白,手套,，,哈哈,，,让,我,虚荣心,得到,了,满足,，,每个,电商,都,有,或多或少,的,毛病,，,反正,我,相信,京东,，,确实,不行,还有,京东,售后,嘛,，,退,呗,，,换,呗,，,最后,一点,希望,京东,不要,放弃,老客户,，,不要,一门心思,的,发展,plus,会员,了,，,我们,这些,老客户,给,你,的,支持,不必,买,你,一个,会员,少,吧
1,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,12,-,07, ,00,:,45,:,30,",",完全,被,它,的,颜值,征服,了,，,特意,用,相机,拍,了,一组,照片,，,对于,喜欢,摄影,的,我,来说,，,单反,一直,是,我,的,小老婆,，,现在,MacBook, ,pro,是,我,的,小,小老婆,了,，,拍照,前期,是,谱曲,后期,是,演奏,，,一定,要,有,一个,好,的,后期,输出设备,，,Retina,屏,简直,惊艳,到,爆,。,之前,看,大家,都,在,评论,说,触控板,很,好,用,，,没,亲自,体验,之前,觉得,大家,在,夸大其词,，,现在,简直,爱上,这块,超大,触控板,了,，,单手操作,的,效率,可以,媲美,触控屏,，,可以,完全,抛弃,鼠标,。,第一次,开机,的,时候,默认,桌面壁纸,和,店铺,首页,图片,还有,大家,晒单,的,照片,壁纸,不,一样,，,检查,了,序列号,是,没,问题,的,，,电池,循环,次数,1,，,我,猜,应该,是,后来,新,生产,的,机器,都,是,这个,壁纸,吧,，,不,知道,大家,有没有,和,我,一样,的,。,最后,，,花,了,很多,钱,买,了,一个,电子产品,，,贵,肯定,是,有,贵,的,道理,，,能用,它,创造,出,价值,来,就是,值得,的,。
是,的,，,京东,是,大厂,，,就,给,你,发,次品,你,能,咋,地,，,都,是,间歇性,都,奇,""""
8,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,07, ,14,:,21,:,47,",",这是,一次,不得已,的,升级,，,所,获得,的,体验,也,是,MacBook, ,Pro,中,最底层,的,。,但是,2017,款,MacBook, ,Pro,还是,给,我,带来,了,巨大,的,惊喜,，,一方面,延续,了,固有,的,优秀,试用,体验,，,另一方面,在,屏幕,、,触控板,上,的,提升,是,能够,让,你,愿意,彻底,抛弃,原有,的,设备,的,。,也,有,一些,方面,的,改变,，,比如,键盘,、,接口,，,需要,适应,。
9,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,03,-,17, ,19,:,46,:,55,",",设计,必备,，,看,了,很,久,才,下决心,在,京东,买,，,目前,检测,没有,毛病,，,没有,七天,无,理由,退货,是,有,原因,的,，,是,保证,你,不会,拿到,拆过,的,机器,，,如果,买到,有,问题,的,机器,也,没,办法,。,但是,苹果,的,良品率,很,高,，,一般,不会,有,问题,。,比,~,便宜,一千五,左右,，,整体,体验,比较满意,，,用,一段时间,再来,追评,。,拆,包装,还是,挺,激动,的,。
10,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,01,-,21, ,20,:,08,:,29,",",电脑,非常,喜欢,，,我,觉得,深灰色,的,颜色,非常适合,小女生,啊,，,哈哈,！,很酷,很酷,！,关键,是,小,哥哥,开车,穿,西装,，,打领带,，,白,手套,送货上门,的,哦,！,不错,不错,！,非常,不错,啦,！
11,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,04,-,26, ,00,:,29,:,20,",",帮别人,下,的,单,，,经典,版,MacBook, ,pro,，,没得,话,说,，,性价比,之王,。,性能,外观,各,方面,完全,满意,，,至今,没,听到,朋友,说,有,什么,问题,。,反正,对于,apple,，,基本,没有,什么,疑虑,，,它贵,有,它,贵,的,道理,。,没,照片,，,就,放,几个,自己,最近,买,的,magicbook,照片,好,了
12,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,15, ,20,:,43,:,28,",",本子,买,在,618,以后,，,特意,用,了,一段时间,才,来,评价,，,说,一下,个人,感受,吧,。,设计,行业,从业者,，,一直,想买个,轻薄,本,，,汇报,方案,、,简单,调调,图,、,可以,看,平面图,就够,了,，,要求,很,简单,。,为什么,最后,选,了,它,，,也,很,简单,～,逼格,和,系统,，,简单,省心,。,买,之前,也,纠结,过要,不要,等等,新款,，,后来,想想,自己,的,用途,，,性能,高低,对,我,没什么,意义,也,就,释然,了,。,裸机,一枚,，,没,贴膜,没,包壳,，,就,一个,送,的,内胆,，,公文包,一放,完事,。,最后,说,一下,，,京东,快递,很,好,，,快递,小哥,很赞,！
13,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,04, ,21,:,20,:,52,",",第一次,买,这么,贵,的,电脑, ,但是,还是,物超所值,的, ,感觉,还是,macos,系统,好用, ,那些,玩游戏,的, ,劝,你,还是,买,Windows,系统,吧
14,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,20, ,09,:,32,:,48,",",以前,没,注意,京准,达,服务,，,买,这个,下单,时候,，,还,必须,要,我,选,送货,时间,，,遂,生厌,。,早上,8.30,分刚,把,衣服,穿,上,，,电话,就,来,了,，,可能,我离,大库,进,吧,，,小哥,一口,服务,腔,远,比,之前,三轮,小哥,更,专业,，,到,了,一看,，,小哥,开,一辆,黑色,喷有,京东,logo,的,帝豪,，,着实,让,人,惊讶,不已,，,心下,暗道,：,京东,这么,牛,了,现在,？,！,毕竟,平时,都,开,蹦蹦,。,上前,表明,身份,，,小哥,打开,后备箱,，,一摞,儿,黑红,相间,的,盒子,显现出来,，,最,上面,的,盒子,同样,印有,京东,logo,。,只见,小哥,顺手,拿,了,最,上面,盒子,问道,：,是否,打开,验货,？,答,：,不必,了,。,小哥,仍,四下,展示,示意,包装,完好,，,并,道,：,如,有,破损,仍,可,联系,云云,。,收起,盒子,向,家中,走,去,，,途经,一早,食店,，,稍作,停留,并,吃,了,两个,包子,，,一个,茶叶蛋,，,还有,一碗,稀饭,。,酒足饭饱,，,扫,了,店家,二维码,结账,，,不敢,耽搁,，,便,继续,向,家中,疾行,，,不消,片刻,既,至,家中,。,急急,打开,盒子,，,只见,黑盒子,封口处,有,京东,奢侈品,封签,，,撕掉,并,拿,去,黑色,盒子,，,里面,仍套,有,稍,小,一圈,的,普通,纸盒,，,继续,打开,，,电脑,的,自带,包装,这才,漏出,庐山真面目,，,不消,多,说,，,打开,包装,，,翻盖,，,未及,按下,电源,按钮,，,屏幕,竟然,直接,亮,了,？,好,在,官网,查询,后,没什么,问题,。,使用,后,感觉,发热,明显,，,续航,不足, ,，,除了,配置,高点,，,屏幕,好点,，,还,不如,15,款,的,air,，,继续,观察,吧
15,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,05,-,25, ,15,:,07,:,05,",",这,是,我,网上,买过,最贵,的,单品,了,，,非常,爱不释手,，,怕划,了,，,还,买,了,一堆,保护措施,，,配,上,保护膜,鼠标,外壳,什么,的,又,花,了,一千,来块,，,再配,个,超级,棒,的,鼠标,，,个人,觉得,这个,鼠标,比,苹果,鼠标,好用,，,希望,我,的,完美,维护,，,几年,后,包膜,撕下来,还,跟,新,的,一样,！,这个,电脑,非常,好用,，,发货,超级,快,，,我,半夜,下,看到,19500,的,单,，,竟然,早上,起来,就,送到,了,！,京东,真是,大神,啊,！
16,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,07,-,19, ,19,:,08,:,54,",",为什么,我,打开,safari,里面,有,这么,多,个人,收藏,的,网页,，,是,新机,系统,自带,的,吗,？,还是,别人,用过,的,。
17,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,03,-,27, ,16,:,10,:,34,",",挺,好,的,，,就是,装,windows, ,系统,有点,热,，,苹果,系统,没,毛病,，,之前,买,了,一台,27,寸,的,一体机,一直,也,用,着
18,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,07,-,23, ,12,:,59,:,15,",",首先,赞,一下,京东,自营,快递,的,速度,真的,很快,，,而且,快递,小哥,态度,非常,好,。,苹果,的,macbook, ,pro,做工,其他,品牌,是,比,不了,的,，,包装,很,简洁,但,保护,很,到位,，,屏幕显示,效果,非常,清晰,色彩,很,舒服,处理,图片,很,是,享受,，,键盘,键程,虽然,很,短,但是,有,清脆,的,手感,我,个人,很,喜欢,这,手感,，,笔记本,的,转轴,阻尼,刚刚,好,单手,可以,轻松,打开,上盖,，,本子,的,散热,效果,很,好,。,最后,要说,的,是,macbook, ,pro13,寸,的,重量,很,轻,非常,合适,经常,需要,移动,办公,的,人,。
19,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,08,-,11, ,22,:,13,:,24,",",原来,买,惠普,新出,的,envy13.3,寸,高配,，,到手,后,发现,屏幕,太小,，,就,决定,加价,换,mac, ,pro,。,*,入手,，,屏幕,很,细腻,，,装,了,双系统,，,win10,下,有时,会,死机,、,比较,烫,、,有些,办公,软件,不,兼容,会,变成,超,小字体,，,外观,很漂亮,，,总之,挺,喜欢,的,，,给,五星,吧,。
20,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,02,-,17, ,22,:,30,:,42,",",看,视频,，,发热,，,其他,还好,！,苹果,外观,确实,很棒,！,发热,有点,讨厌,，,很,热,！,没,试,充满,可以,看,几小时,的,视频,，,后面,追评,！
21,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,02,-,14, ,12,:,52,:,03,",",这次,算是,在,京东,消费,较大,的,一次,了,，,第一次,用,苹果,系统,，,正在,熟悉,中,，,人机,交换,不错,，,u,还弱,了,些,，,没有,独显,，,没有,16g,内存,，,装,adobe2018,启动,还是,要,装载,一会儿,，,最,满意,的,是,触控板,，,只要,熟悉,各种,手势,，,完全,没,必要,买,鼠标,，,bar,用,着,也,不错,，,方便,，,希望,以后,能,让,更,多,的,软件,支持,！,买来,学做,设计,的,，,性能,离,期望值,有点,远,，,要,性能,的话,还是,要,买,工作站,，,颜值,超高,，,装,b,利器,。
22,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,18, ,21,:,04,:,49,",",下单,前,，,曾,考虑,过,很多,款,笔记本,，,Suface,、,小米,笔记本,、,ThinkPad,&,hellip,;,&,hellip,;,最后,还是,选择,Macbook,！,实物,拿到,手后,，,太,惊艳,了,，,视网膜,屏幕,真的,很,舒服,、,触控板,代替,了,鼠标,使用,、,蝴蝶,键盘,敲击,很,舒服,、,还有,就是,touch, ,bar,、,以及,iCloud,功能,&,hellip,;,&,hellip,;,太多,的,优点,，,唯一,缺点,就是,OSX,系统,目前,确实,部分,APP,没有,Windows,好用,，,希望,以后,可以,通过,update,改进,。
23,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,10,-,30, ,23,:,41,:,23,",",虽然,性价比,确实,相对,较,低,，,但是,用,了,几天,后,，,最大,的,感受,就是,比起,原来,笨重,的,性能,本,，,这个,确实,是,轻多,了,，,背出去,很,轻松,，,同时,工作效率,得到,了,提升,，,确实,在,mac,设计,方面,做,了,很多,易于,用户,操作,的,优化,，,我,是,做,开发,的,...
24,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,04,-,09, ,22,:,01,:,34,",",包装,很,简洁,，,不过,足够,了,~,机子,完美,啊,！,老婆,完全,是,冲着,颜值,买,了,这款,，,性能,大大,超过,需求,~,用,起来,心情,好,就,超值,~,老婆,高兴,就,好,~
25,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,12,-,13, ,22,:,17,:,09,",",双,十二,购,的,，,便宜,一点,，,凌晨,拍,的,，,下午,就,到,了,，,京东,就是,快,。,电脑,棒棒,哒,，,就是,不太会,用,，,appid,一直,登录,不,上去,，,折腾,了,半天,，,打,客服,电话,，,很,给,力,的,帮忙,解决,了,。,为,客服,点个,赞,！,第一次,用,mac,，,慢慢,习惯,吧,！,对于,程序员,应该,很,实用,。
26,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,24, ,22,:,58,:,46,",","""",电脑,有,问题,啊,！,！,！,刚用,几次,，,已经,出现,两次,电脑,没,反应,，,彩色,圈圈,一直,转,的,问题,，,到,现在,已经,转,了,将近,10,分钟,了,，,一直,没,反应,。,并且,下,东西,速度,非常,慢,！,！,才,100m,的,东西,竟然,显示,得,下,两天,！,！,！
而且,这次,派送,也,有,问题,，,买,了,一个,星期,，,系统,一直,显示,一个,站点,货物,太,多,，,让,我,等等,。,结果,有天,早晨,莫名其妙,地,，,就,显示,已,收货,！,！,吓,得,我,赶紧,起来,打电话,，,结果,送到,了,自,提点,，,还是,我,自己,搭车去,取,的,&,hellip,;,&,hellip,;
让,我,老,觉得,苹果电脑,感觉,被,调包,了,&,hellip,;,&,hellip,;,不然,怎么,会出,这种,问题,?,""""
27,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,07,-,21, ,08,:,28,:,38,",",稍微,适应,了,一会儿,就,上,手,了,，,确实,很,好,用,，,尤其,是,触摸板,的,逻辑,，,比,鼠标,要强,很多,，,办公,软件,的话,买个,了,许可,，,和,Windows, ,7,就,没什么,区别,了,，,就是,内存空间,少,了,一点,，,买,了,一个,外接,硬盘,，,实际,使用,效果,不错,，,如果,有,的,人,是,使用,小米,的,转换器,的话,，,那个,转换器,配,MacBook,会,很,烫,很,烫,，,建议,慎重考虑
28,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,06,-,06, ,16,:,00,:,40,",","""",买,之前,一直,都,有,担心,，,网上,的,评价,有,褒,有,贬,，,看得,我,眼花缭乱,。
之前,的,iPad,和,iPhone,都,是,直接,在,大悦,城,的,实体,店里,买,的,，,这是,第一次,在,京东,买,这么,贵,的,东西,。,犹豫,了,好久,终于,下,了,单,，,第二天,收到,，,拆箱,之前,先查,了,一下,序列号,，,发现,没有,问题,。,于是,开始,激活,电脑,，,屏幕,很赞,，,没有,裂痕,和,缺口,，,这个,清晰度,真的,感人,，,幸亏,没有,买,air,。,总之,好评,加加,加加,加,啊,！,都,说,买,到,的,东西,好坏,是,个,概率,问题,，,庆幸,自己,运气,好,，,买到,了,一台,很赞,的,机子,。,这次,无论如何,都,要,给,京东,一个,好评,！
BTW,，,真的,爱死,了,苹果,系统,，,买,苹果电脑,就是,为了,系统,买,的,，,为什么,那么,多人,买,了,mac,却,要,装,双系统,呢,！,！,！,！,！,""""
29,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2017,-,11,-,05, ,09,:,00,:,52,",",苹果,做工,非常,的,好,，,包装,也,很,简洁,但,保护,很,到位,，,屏幕显示,效果,也,是,非常,的,清晰,色彩,。,新,mac, ,pro,的,touch, ,bar,是,个,亮点,，,解决,的,好多,原来,许多,不,方便,的,地方,，,特别,是,做,设计,很,方便,。,发票,一共,给,我,开,了,3,张,，,单张,发票,好像,他,的,不能,超过,万元,。,键盘,敲,着,不是,那么,舒服,，,声音,确实,有点,大,。,总体,还是,比较,好,的,，,还是,值,那么,多钱,。
30,",",Apple, ,MacBook, ,Pro, ,13.3,英寸,笔记本电脑, ,银色,（,2017,款,Multi,-,Touch, ,Bar,/,Core, ,i5,/,8GB,/,512GB, ,MPXY2CH,/,A,）,",",2018,-,02,-,11, ,19,:,25,:,21,",",快递,小哥,特别,帅,，,黑,西服,白,手套,红,领结,，,商品质量,没,问题,里外,三层,盒,。,苹果,的,东西,外观,我,就,不,说,了,，,大家,都,懂,，,装,B,首选,。,做,开发,和,视频,图片,处理,工作,如果,预算,充足,还是,推荐,的,。
